,ips_cell_line,pred_VPN,exp_distance,exp_distance_decimals,axonal_growth,ips_condition
50,033#1,B7_008,384293.4668732895,467,1.48,slow
55,033#1,B7_033,384293.47686303593,477,1.18,slow
71,033#1,B7_116,384293.48939745786,489,2.08,slow
67,033#1,B7_110,384293.49456128443,495,1.53,slow
48,033#1,B7_001,384293.5063438761,506,1.57,slow
61,033#1,B7_067,384293.5261746195,526,1.66,slow
49,033#1,B7_007,384293.5317382763,532,2.45,slow
60,033#1,B7_066,384293.5320423709,532,1.26,slow
59,033#1,B7_052,384293.5387657057,539,1.7,slow
68,033#1,B7_111,384293.5654835057,565,1.87,slow
69,033#1,B7_112,384293.6430269991,643,2.07,slow
53,033#1,B7_028,384293.64777962526,648,1.32,slow
57,033#1,B7_048,384293.67789930734,678,1.48,slow
63,033#1,B7_069,384293.70612613525,706,1.39,slow
54,033#1,B7_030,384293.71412305976,714,1.87,slow
58,033#1,B7_051,384293.719026209,719,2.07,slow
65,033#1,B7_105,384293.72414121113,724,1.87,slow
66,033#1,B7_109,384293.7764125246,776,1.75,slow
56,033#1,B7_035,384293.7939508083,794,1.49,slow
62,033#1,B7_068,384293.8008830481,801,1.62,slow
64,033#1,B7_100,384293.84600113967,846,1.89,slow
70,033#1,B7_113,384294.0251762258,25,2.15,slow
28,028#1,B7_021,545685.1960365669,196,1.52,slow
30,028#1,B7_030,545685.2444741266,244,1.87,slow
27,028#1,B7_009,545685.2482083888,248,1.58,slow
24,028#1,B7_001,545685.2603777555,26,1.57,slow
47,028#1,B7_116,545685.2796767151,28,2.08,slow
38,028#1,B7_068,545685.408294588,408,1.62,slow
25,028#1,B7_007,545685.4085830528,409,2.45,slow
35,028#1,B7_052,545685.416584521,417,1.7,slow
39,028#1,B7_069,545685.4213058141,421,1.39,slow
43,028#1,B7_110,545685.4392396795,439,1.53,slow
42,028#1,B7_109,545685.4496900095,45,1.75,slow
31,028#1,B7_033,545685.4702352394,47,1.18,slow
41,028#1,B7_105,545685.4710421438,471,1.87,slow
36,028#1,B7_066,545685.4754654964,475,1.26,slow
46,028#1,B7_113,545685.5032685426,503,2.15,slow
34,028#1,B7_051,545685.5066774479,507,2.07,slow
32,028#1,B7_035,545685.5284569788,528,1.49,slow
26,028#1,B7_008,545685.5346030854,535,1.48,slow
45,028#1,B7_112,545685.575550032,576,2.07,slow
37,028#1,B7_067,545685.5765390295,577,1.66,slow
44,028#1,B7_111,545685.5835728259,584,1.87,slow
29,028#1,B7_028,545685.614484762,614,1.32,slow
33,028#1,B7_048,545685.6807855766,681,1.48,slow
40,028#1,B7_100,545685.702459307,702,1.89,slow
